delay,policy,sender_convention,n_games,mean_reward_rate,mean_signal_age,mean_convention_updates,mean_misattributed_updates,fraction_learned_by_end,mean_learned_at
0,delay_blind_adaptive,0,20,0.8614285714285715,1.2478571428571428,138.0,13.45,1.0,2.0
0,delay_blind_adaptive,1,20,0.8625,1.2521428571428568,138.0,12.5,1.0,2.0
0,fixed_protocol,0,20,0.9249999999999998,1.0,139.0,0.0,1.0,1.0
0,fixed_protocol,1,20,0.08428571428571428,1.0,139.0,0.0,1.0,1.0
0,known_protocol,0,20,0.9199999999999997,1.0,139.0,0.0,1.0,1.0
0,known_protocol,1,20,0.9135714285714286,1.0,139.0,0.0,1.0,1.0
0,queue_aware_adaptive,0,20,0.9032142857142856,1.0,139.0,0.0,1.0,1.0
0,queue_aware_adaptive,1,20,0.9299999999999999,1.0,139.0,0.0,1.0,1.0
1,delay_blind_adaptive,0,20,0.822857142857143,1.8807142857142853,137.6,14.3,1.0,2.6
1,delay_blind_adaptive,1,20,0.8174999999999999,1.865357142857143,137.65,14.25,1.0,2.5
1,fixed_protocol,0,20,0.8760714285714286,1.5025000000000002,138.45,0.0,1.0,1.5
1,fixed_protocol,1,20,0.12928571428571428,1.5146428571428574,138.4,0.0,1.0,1.45
1,known_protocol,0,20,0.8896428571428572,1.512142857142857,138.45,0.0,1.0,1.5
1,known_protocol,1,20,0.8892857142857142,1.5167857142857142,138.4,0.0,1.0,1.6
1,queue_aware_adaptive,0,20,0.8717857142857142,1.497142857142857,138.5,0.0,1.0,1.6
1,queue_aware_adaptive,1,20,0.885,1.5050000000000001,138.55,0.0,1.0,1.4
2,delay_blind_adaptive,0,20,0.775357142857143,2.8642857142857143,136.35,13.25,1.0,3.75
2,delay_blind_adaptive,1,20,0.7785714285714285,2.8775,136.4,13.05,1.0,3.65
2,fixed_protocol,0,20,0.822857142857143,2.511071428571429,137.35,0.0,1.0,2.6
2,fixed_protocol,1,20,0.1735714285714286,2.511785714285714,137.35,0.0,1.0,2.5
2,known_protocol,0,20,0.8110714285714288,2.5060714285714285,137.6,0.0,1.0,2.55
2,known_protocol,1,20,0.8289285714285715,2.500357142857144,137.3,0.0,1.0,2.55
2,queue_aware_adaptive,0,20,0.8210714285714286,2.5221428571428577,137.5,0.0,1.0,2.55
2,queue_aware_adaptive,1,20,0.8328571428571431,2.4975,137.7,0.0,1.0,2.5
3,delay_blind_adaptive,0,20,0.7335714285714288,3.8653571428571425,135.5,12.6,1.0,4.85
3,delay_blind_adaptive,1,20,0.6975,3.8757142857142854,135.65,15.9,1.0,4.65
3,fixed_protocol,0,20,0.7525,3.5017857142857145,136.5,0.0,1.0,3.5
3,fixed_protocol,1,20,0.2475,3.513214285714285,136.85,0.0,1.0,3.55
3,known_protocol,0,20,0.7585714285714287,3.5196428571428577,136.55,0.0,1.0,3.35
3,known_protocol,1,20,0.7692857142857144,3.519285714285714,136.45,0.0,1.0,3.5
3,queue_aware_adaptive,0,20,0.7732142857142856,3.4978571428571428,136.5,0.0,1.0,3.7
3,queue_aware_adaptive,1,20,0.7521428571428571,3.517142857142857,136.35,0.0,1.0,3.6
5,delay_blind_adaptive,0,20,0.6760714285714285,5.893928571428572,133.5,13.3,1.0,6.75
5,delay_blind_adaptive,1,20,0.6514285714285712,5.852857142857141,133.5,13.2,1.0,6.9
5,fixed_protocol,0,20,0.6846428571428571,5.531428571428569,134.55,0.0,1.0,5.6
5,fixed_protocol,1,20,0.3221428571428572,5.527499999999999,134.55,0.0,1.0,5.55
5,known_protocol,0,20,0.6832142857142856,5.525714285714285,134.6,0.0,1.0,5.5
5,known_protocol,1,20,0.6760714285714287,5.522142857142857,134.55,0.0,1.0,5.2
5,queue_aware_adaptive,0,20,0.7003571428571429,5.5182142857142855,134.55,0.0,1.0,5.55
5,queue_aware_adaptive,1,20,0.6835714285714284,5.506071428571429,134.45,0.0,1.0,5.6
