delay,policy,n_games,high_age_tail_count,high_age_tail_rate,high_age_tail_conditional_mean,high_loop_tail_count,high_loop_tail_rate,high_loop_tail_conditional_mean,high_disagreement_tail_count,high_disagreement_tail_rate,high_disagreement_tail_conditional_mean
0,blind_delay,30,0,0.0,0.0,30,1.0,0.23529411764705885,1,0.03333333333333333,0.8316665379278754
0,queue_aware,30,0,0.0,0.0,30,1.0,0.23529411764705885,1,0.03333333333333333,0.8316665379278754
1,blind_delay,30,0,0.0,0.0,30,1.0,0.23529411764705885,4,0.13333333333333333,0.8191104792891836
1,queue_aware,30,0,0.0,0.0,30,1.0,0.23529411764705885,4,0.13333333333333333,0.8191104792891836
2,blind_delay,30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,queue_aware,30,0,0.0,0.0,30,1.0,0.23529411764705885,4,0.13333333333333333,0.8164007974424465
3,blind_delay,30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,queue_aware,30,0,0.0,0.0,30,1.0,0.23529411764705885,2,0.06666666666666667,0.8184331356895846
5,blind_delay,30,30,1.0,3.944444444444444,0,0.0,0.0,0,0.0,0.0
5,queue_aware,30,0,0.0,0.0,30,1.0,0.23529411764705885,0,0.0,0.0
