delay,policy,n_games,mean_stale_conflicts,p95_stale_conflicts,any_conflict_rate,mean_turns,full_board_rate,blue_win_rate,yellow_win_rate
0,blind_delay,50,0.0,0,0.0,49.0,1.0,0.42,0.58
0,queue_aware,50,0.0,0,0.0,49.0,1.0,0.42,0.58
1,blind_delay,50,0.0,0,0.0,49.0,1.0,0.58,0.42
1,queue_aware,50,0.0,0,0.0,49.0,1.0,0.58,0.42
2,blind_delay,50,6.36,9,1.0,55.36,1.0,0.56,0.44
2,queue_aware,50,0.0,0,0.0,49.0,1.0,0.42,0.58
3,blind_delay,50,6.2,10,1.0,55.2,1.0,0.62,0.38
3,queue_aware,50,0.0,0,0.0,49.0,1.0,0.6,0.4
5,blind_delay,50,9.86,13,1.0,58.86,1.0,0.42,0.58
5,queue_aware,50,0.0,0,0.0,49.0,1.0,0.56,0.44
