hold_strength,delay,policy,n_games,mean_stale_conflicts,any_conflict_rate,mean_phase_error,mean_extra_hold
0,0,blind_delay,15,0.0,0.0,1.1233942923654443,0.0
0,0,queue_aware,15,0.0,0.0,1.1233942923654443,0.0
0,1,blind_delay,15,0.0,0.0,1.1184404530034506,0.0
0,1,queue_aware,15,0.0,0.0,1.1184404530034506,0.0
0,2,blind_delay,15,43.06666666666667,1.0,1.2031862915438716,0.0
0,2,queue_aware,15,0.0,0.0,1.1192011207774826,0.0
0,3,blind_delay,15,42.13333333333333,1.0,1.2131169452068857,0.0
0,3,queue_aware,15,0.0,0.0,1.1360594941548166,0.0
0,5,blind_delay,15,44.666666666666664,1.0,1.1948332313812122,0.0
0,5,queue_aware,15,0.0,0.0,1.147422544615569,0.0
1,0,blind_delay,15,0.0,0.0,1.122622808381283,0.0
1,0,queue_aware,15,0.0,0.0,1.122622808381283,0.0
1,1,blind_delay,15,18.466666666666665,1.0,1.1693686148830105,0.47482993197278917
1,1,queue_aware,15,0.0,0.0,1.1200249093548371,0.4965986394557822
1,2,blind_delay,15,41.6,1.0,1.1832818820144884,0.4979591836734694
1,2,queue_aware,15,0.0,0.0,1.1154013282160087,0.5047619047619047
1,3,blind_delay,15,42.2,1.0,1.24177332660696,0.601360544217687
1,3,queue_aware,15,0.0,0.0,1.1421723167855744,0.5782312925170069
1,5,blind_delay,15,45.666666666666664,1.0,1.1872072462403787,0.526530612244898
1,5,queue_aware,15,0.0,0.0,1.1417525304451785,0.527891156462585
2,0,blind_delay,15,0.0,0.0,1.10107549892073,0.0
2,0,queue_aware,15,0.0,0.0,1.10107549892073,0.0
2,1,blind_delay,15,18.266666666666666,1.0,1.1859813546847717,0.9741496598639455
2,1,queue_aware,15,0.0,0.0,1.1122105447493165,0.9088435374149658
2,2,blind_delay,15,41.4,1.0,1.1841523485734986,0.9768707482993197
2,2,queue_aware,15,0.0,0.0,1.138726086159797,0.9414965986394558
2,3,blind_delay,15,44.46666666666667,1.0,1.1929000353917978,1.1972789115646258
2,3,queue_aware,15,0.0,0.0,1.1000739909275952,1.115646258503401
2,5,blind_delay,15,44.4,1.0,1.1832139017606693,1.017687074829932
2,5,queue_aware,15,0.0,0.0,1.121937128163731,1.0340136054421767
