delay,policy,transport_mode,n_games,mean_stale_conflicts,any_conflict_rate,mean_phase_error,p95_phase_error,mean_extra_hold,full_board_rate,blue_win_rate,yellow_win_rate
0,blind_delay,adversarial_selective_hold,30,0.0,0.0,1.110278158290528,2.9176352122246048,0.0,1.0,0.6,0.4
0,queue_aware,adversarial_selective_hold,30,0.0,0.0,1.110278158290528,2.9176352122246048,0.0,1.0,0.6,0.4
1,blind_delay,adversarial_selective_hold,30,20.0,1.0,1.187765111890227,2.9700085417303725,0.5142857142857143,1.0,0.4,0.6
1,queue_aware,adversarial_selective_hold,30,0.0,0.0,1.1221177140665415,2.9257667729322203,0.5217687074829931,1.0,0.5,0.5
2,blind_delay,adversarial_selective_hold,30,41.9,1.0,1.2018761742569655,2.9891048366352697,0.5034013605442177,1.0,0.6,0.4
2,queue_aware,adversarial_selective_hold,30,0.0,0.0,1.119849267676816,2.876462138557611,0.5108843537414967,1.0,0.5,0.5
3,blind_delay,adversarial_selective_hold,30,43.5,1.0,1.1875020917297407,2.9521560947658405,0.5462585034013604,1.0,0.7,0.3
3,queue_aware,adversarial_selective_hold,30,0.0,0.0,1.1057260781237768,2.8972959160842926,0.5653061224489796,1.0,0.4666666666666667,0.5333333333333333
5,blind_delay,adversarial_selective_hold,30,45.266666666666666,1.0,1.1667383900966473,3.0013444905418805,0.47414965986394547,1.0,0.8333333333333334,0.16666666666666666
5,queue_aware,adversarial_selective_hold,30,0.0,0.0,1.1151236675987535,2.8403280006323732,0.47619047619047616,1.0,0.4,0.6
