delay,policy,seed,agents,turns,moves,stale_conflicts,red_line_events,false_red_lines,missed_red_lines,cascade_turns,full_board
0,blind_fleet,2026073400,4,49,49,0,19,0,0,17,True
0,queue_aware_fleet,2026073400,4,49,49,0,19,0,0,17,True
0,blind_fleet,2026073401,4,49,49,0,19,0,0,17,True
0,queue_aware_fleet,2026073401,4,49,49,0,19,0,0,17,True
0,blind_fleet,2026073402,4,49,49,0,20,0,0,18,True
0,queue_aware_fleet,2026073402,4,49,49,0,20,0,0,18,True
0,blind_fleet,2026073403,4,49,49,0,20,0,0,18,True
0,queue_aware_fleet,2026073403,4,49,49,0,20,0,0,18,True
0,blind_fleet,2026073404,4,49,49,0,19,0,0,15,True
0,queue_aware_fleet,2026073404,4,49,49,0,19,0,0,15,True
0,blind_fleet,2026073405,4,49,49,0,17,0,0,13,True
0,queue_aware_fleet,2026073405,4,49,49,0,17,0,0,13,True
0,blind_fleet,2026073406,4,49,49,0,20,0,0,18,True
0,queue_aware_fleet,2026073406,4,49,49,0,20,0,0,18,True
0,blind_fleet,2026073407,4,49,49,0,17,0,0,15,True
0,queue_aware_fleet,2026073407,4,49,49,0,17,0,0,15,True
0,blind_fleet,2026073408,4,49,49,0,18,0,0,16,True
0,queue_aware_fleet,2026073408,4,49,49,0,18,0,0,16,True
0,blind_fleet,2026073409,4,49,49,0,21,0,0,18,True
0,queue_aware_fleet,2026073409,4,49,49,0,21,0,0,18,True
0,blind_fleet,2026073410,4,49,49,0,21,0,0,16,True
0,queue_aware_fleet,2026073410,4,49,49,0,21,0,0,16,True
0,blind_fleet,2026073411,4,49,49,0,20,0,0,18,True
0,queue_aware_fleet,2026073411,4,49,49,0,20,0,0,18,True
0,blind_fleet,2026073412,4,49,49,0,19,0,0,16,True
0,queue_aware_fleet,2026073412,4,49,49,0,19,0,0,16,True
0,blind_fleet,2026073413,4,49,49,0,21,0,0,18,True
0,queue_aware_fleet,2026073413,4,49,49,0,21,0,0,18,True
0,blind_fleet,2026073414,4,49,49,0,20,0,0,18,True
0,queue_aware_fleet,2026073414,4,49,49,0,20,0,0,18,True
0,blind_fleet,2026073415,4,49,49,0,19,0,0,17,True
0,queue_aware_fleet,2026073415,4,49,49,0,19,0,0,17,True
0,blind_fleet,2026073416,4,49,49,0,20,0,0,17,True
0,queue_aware_fleet,2026073416,4,49,49,0,20,0,0,17,True
0,blind_fleet,2026073417,4,49,49,0,18,0,0,16,True
0,queue_aware_fleet,2026073417,4,49,49,0,18,0,0,16,True
0,blind_fleet,2026073418,4,49,49,0,19,0,0,17,True
0,queue_aware_fleet,2026073418,4,49,49,0,19,0,0,17,True
0,blind_fleet,2026073419,4,49,49,0,18,0,0,16,True
0,queue_aware_fleet,2026073419,4,49,49,0,18,0,0,16,True
1,blind_fleet,2026083400,4,49,49,0,18,0,0,16,True
1,queue_aware_fleet,2026083400,4,49,49,0,18,0,0,16,True
1,blind_fleet,2026083401,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083401,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083402,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083402,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083403,4,49,49,0,19,0,0,16,True
1,queue_aware_fleet,2026083403,4,49,49,0,19,0,0,16,True
1,blind_fleet,2026083404,4,49,49,0,20,0,0,18,True
1,queue_aware_fleet,2026083404,4,49,49,0,20,0,0,18,True
1,blind_fleet,2026083405,4,49,49,0,17,0,0,15,True
1,queue_aware_fleet,2026083405,4,49,49,0,17,0,0,15,True
1,blind_fleet,2026083406,4,49,49,0,18,0,0,14,True
1,queue_aware_fleet,2026083406,4,49,49,0,18,0,0,14,True
1,blind_fleet,2026083407,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083407,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083408,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083408,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083409,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083409,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083410,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083410,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083411,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083411,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083412,4,49,49,0,20,0,0,18,True
1,queue_aware_fleet,2026083412,4,49,49,0,20,0,0,18,True
1,blind_fleet,2026083413,4,49,49,0,20,0,0,18,True
1,queue_aware_fleet,2026083413,4,49,49,0,20,0,0,18,True
1,blind_fleet,2026083414,4,49,49,0,20,0,0,18,True
1,queue_aware_fleet,2026083414,4,49,49,0,20,0,0,18,True
1,blind_fleet,2026083415,4,49,49,0,20,0,0,18,True
1,queue_aware_fleet,2026083415,4,49,49,0,20,0,0,18,True
1,blind_fleet,2026083416,4,49,49,0,18,0,0,15,True
1,queue_aware_fleet,2026083416,4,49,49,0,18,0,0,15,True
1,blind_fleet,2026083417,4,49,49,0,18,0,0,15,True
1,queue_aware_fleet,2026083417,4,49,49,0,18,0,0,15,True
1,blind_fleet,2026083418,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083418,4,49,49,0,19,0,0,17,True
1,blind_fleet,2026083419,4,49,49,0,19,0,0,17,True
1,queue_aware_fleet,2026083419,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093400,4,55,49,6,21,0,0,19,True
2,queue_aware_fleet,2026093400,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093401,4,66,49,17,25,3,9,20,True
2,queue_aware_fleet,2026093401,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093402,4,60,49,11,22,3,2,17,True
2,queue_aware_fleet,2026093402,4,49,49,0,18,0,0,16,True
2,blind_fleet,2026093403,4,56,49,7,18,0,0,16,True
2,queue_aware_fleet,2026093403,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093404,4,61,49,12,19,0,0,17,True
2,queue_aware_fleet,2026093404,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093405,4,61,49,12,21,0,0,19,True
2,queue_aware_fleet,2026093405,4,49,49,0,16,0,0,14,True
2,blind_fleet,2026093406,4,56,49,7,24,2,2,19,True
2,queue_aware_fleet,2026093406,4,49,49,0,18,0,0,16,True
2,blind_fleet,2026093407,4,58,49,9,26,3,0,22,True
2,queue_aware_fleet,2026093407,4,49,49,0,20,0,0,18,True
2,blind_fleet,2026093408,4,60,49,11,21,1,1,18,True
2,queue_aware_fleet,2026093408,4,49,49,0,20,0,0,18,True
2,blind_fleet,2026093409,4,63,49,14,17,1,4,13,True
2,queue_aware_fleet,2026093409,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093410,4,58,49,9,18,0,0,16,True
2,queue_aware_fleet,2026093410,4,49,49,0,17,0,0,15,True
2,blind_fleet,2026093411,4,56,49,7,24,1,4,21,True
2,queue_aware_fleet,2026093411,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093412,4,57,49,8,22,0,0,20,True
2,queue_aware_fleet,2026093412,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093413,4,51,49,2,19,0,0,17,True
2,queue_aware_fleet,2026093413,4,49,49,0,20,0,0,18,True
2,blind_fleet,2026093414,4,59,49,10,20,0,0,18,True
2,queue_aware_fleet,2026093414,4,49,49,0,18,0,0,16,True
2,blind_fleet,2026093415,4,57,49,8,25,2,4,20,True
2,queue_aware_fleet,2026093415,4,49,49,0,20,0,0,16,True
2,blind_fleet,2026093416,4,57,49,8,21,0,0,19,True
2,queue_aware_fleet,2026093416,4,49,49,0,16,0,0,13,True
2,blind_fleet,2026093417,4,58,49,9,25,2,3,19,True
2,queue_aware_fleet,2026093417,4,49,49,0,18,0,0,16,True
2,blind_fleet,2026093418,4,59,49,10,21,0,1,19,True
2,queue_aware_fleet,2026093418,4,49,49,0,19,0,0,17,True
2,blind_fleet,2026093419,4,64,49,15,28,3,2,23,True
2,queue_aware_fleet,2026093419,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103400,4,57,49,8,21,0,1,19,True
3,queue_aware_fleet,2026103400,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103401,4,67,49,18,22,0,3,18,True
3,queue_aware_fleet,2026103401,4,49,49,0,20,0,0,17,True
3,blind_fleet,2026103402,4,77,49,28,32,3,7,23,True
3,queue_aware_fleet,2026103402,4,49,49,0,20,0,0,18,True
3,blind_fleet,2026103403,4,62,49,13,22,0,2,20,True
3,queue_aware_fleet,2026103403,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103404,4,62,49,13,23,1,3,19,True
3,queue_aware_fleet,2026103404,4,49,49,0,18,0,0,15,True
3,blind_fleet,2026103405,4,56,49,7,19,0,1,17,True
3,queue_aware_fleet,2026103405,4,49,49,0,20,0,0,18,True
3,blind_fleet,2026103406,4,69,49,20,27,1,5,21,True
3,queue_aware_fleet,2026103406,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103407,4,77,49,28,25,2,11,18,True
3,queue_aware_fleet,2026103407,4,49,49,0,18,0,0,16,True
3,blind_fleet,2026103408,4,60,49,11,19,0,1,17,True
3,queue_aware_fleet,2026103408,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103409,4,55,49,6,21,0,2,19,True
3,queue_aware_fleet,2026103409,4,49,49,0,20,0,0,18,True
3,blind_fleet,2026103410,4,59,49,10,22,0,1,20,True
3,queue_aware_fleet,2026103410,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103411,4,66,49,17,19,1,5,14,True
3,queue_aware_fleet,2026103411,4,49,49,0,19,0,0,17,True
3,blind_fleet,2026103412,4,63,49,14,25,0,1,23,True
3,queue_aware_fleet,2026103412,4,49,49,0,20,0,0,17,True
3,blind_fleet,2026103413,4,57,49,8,22,0,2,20,True
3,queue_aware_fleet,2026103413,4,49,49,0,18,0,0,16,True
