delay,policy,n_games,mean_stale_conflicts,mean_false_red_lines,mean_missed_red_lines,mean_cascade_turns,full_board_rate
0,blind_fleet,20,0.0,0.0,0.0,16.7,1.0
0,queue_aware_fleet,20,0.0,0.0,0.0,16.7,1.0
1,blind_fleet,20,0.0,0.0,0.0,16.7,1.0
1,queue_aware_fleet,20,0.0,0.0,0.0,16.7,1.0
2,blind_fleet,20,9.6,1.05,1.6,18.6,1.0
2,queue_aware_fleet,20,0.0,0.0,0.0,16.45,1.0
3,blind_fleet,20,15.45,0.5,3.1,19.6,1.0
3,queue_aware_fleet,20,0.0,0.0,0.0,17.1,1.0
5,blind_fleet,20,16.5,0.1,2.35,20.95,1.0
5,queue_aware_fleet,20,0.0,0.0,0.0,16.8,1.0
