projection_dim,seed,mean_abs_relative_distance_distortion,p95_abs_relative_distance_distortion,projected_norm_threshold,projected_violation_recall,projected_normal_false_positive_rate,coordinate_oracle_recall,coordinate_oracle_false_positive_rate
2,20262730,0.3826538440990611,0.8312160626349758,4.214214216167437,0.023,0.005,1.0,0.0
2,20262731,0.39827301089710576,0.8403138733438713,4.763061846717721,0.029,0.005,1.0,0.0
2,20262732,0.3789133656199573,0.934961910656601,5.473349503139904,0.014,0.005,1.0,0.0
2,20262733,0.39480738421990935,0.8784116316444042,4.616778546681473,0.014,0.005,1.0,0.0
2,20262734,0.3815661004951323,0.8396160452346513,3.894208210720526,0.028,0.005,1.0,0.0
2,20262735,0.4030132883608,0.8701221069787124,4.733450959741981,0.022,0.005,1.0,0.0
2,20262736,0.3818448654960468,0.8515028246115441,4.835273233774315,0.012,0.005,1.0,0.0
2,20262737,0.3894889507809016,0.8607844652614252,4.602684977307584,0.058,0.005,1.0,0.0
2,20262738,0.3996697395335422,0.8522106885586193,4.84028198493454,0.029,0.005,1.0,0.0
2,20262739,0.38714305337933225,0.8431824835987827,4.538973397262531,0.048,0.005,1.0,0.0
2,20262740,0.3798174024426143,0.8741820828417083,5.0689580625666695,0.017,0.005,1.0,0.0
2,20262741,0.4019304668073477,0.8455826338165723,4.339379019580722,0.018,0.005,1.0,0.0
2,20262742,0.4161620245547397,0.8675945467408313,4.680513788617818,0.03,0.005,1.0,0.0
2,20262743,0.41139018748336226,0.8802723182427318,4.62737413795753,0.037,0.005,1.0,0.0
2,20262744,0.40506938529662745,0.8471315433279393,5.039284989178978,0.046,0.005,1.0,0.0
2,20262745,0.39652243657504616,0.8761852939702018,4.811842068264986,0.011,0.005,1.0,0.0
2,20262746,0.3759325588191589,0.8494860308413533,4.876633440930274,0.019,0.005,1.0,0.0
2,20262747,0.38165708401186405,0.8580414968631049,4.689560320745875,0.018,0.005,1.0,0.0
2,20262748,0.4089436669196249,0.8666813671375077,4.25947711418835,0.03,0.005,1.0,0.0
2,20262749,0.376247915772573,0.8941107883310119,4.798879389326198,0.079,0.005,1.0,0.0
4,20264730,0.2719947869380318,0.6109783348909232,3.719221889737126,0.047,0.005,1.0,0.0
4,20264731,0.27875540218508094,0.6450223597543341,3.7818646871413315,0.019,0.005,1.0,0.0
4,20264732,0.26961244868998224,0.6053553535103757,3.6592289786819743,0.033,0.005,1.0,0.0
4,20264733,0.2788861804573792,0.6365859021387136,3.72892883154665,0.033,0.005,1.0,0.0
4,20264734,0.2694406581809626,0.6514699471532599,3.8663824537232054,0.074,0.005,1.0,0.0
4,20264735,0.2801603559027354,0.657031504015623,3.9518988836247053,0.027,0.005,1.0,0.0
4,20264736,0.24918567397806762,0.595179735622535,4.288828439764566,0.016,0.005,1.0,0.0
4,20264737,0.26862780980607637,0.6672723566845105,3.9848570112011,0.027,0.005,1.0,0.0
4,20264738,0.27038837559065576,0.6025610576674079,3.9509830643102095,0.025,0.005,1.0,0.0
4,20264739,0.2654162081269721,0.6209126709670962,4.191893609600695,0.016,0.005,1.0,0.0
4,20264740,0.2794426936418775,0.6234529987774211,3.8151882565249786,0.037,0.005,1.0,0.0
4,20264741,0.27925103327702044,0.6743939228685812,3.7932910017050894,0.039,0.005,1.0,0.0
4,20264742,0.2826060287421825,0.6401952451131993,3.8230126666459405,0.051,0.005,1.0,0.0
4,20264743,0.27566301367904705,0.6559466909160498,3.8933217271643845,0.029,0.005,1.0,0.0
4,20264744,0.2865923033854194,0.6642025008109074,3.737682418520066,0.035,0.005,1.0,0.0
4,20264745,0.3092350287537196,0.6932640142034904,4.207331555502008,0.021,0.005,1.0,0.0
4,20264746,0.2901886754114654,0.7135674325939412,4.18177529932346,0.059,0.005,1.0,0.0
4,20264747,0.2847773907518388,0.6593656123794595,3.62447952995219,0.046,0.005,1.0,0.0
4,20264748,0.28135061517688603,0.6401793793954186,3.9537117768339285,0.07,0.005,1.0,0.0
4,20264749,0.2735441473485979,0.6582409580564345,4.096033969808599,0.022,0.005,1.0,0.0
8,20268730,0.20082154583546172,0.47183351739040935,3.3867299228974184,0.033,0.005,1.0,0.0
8,20268731,0.19955089314694038,0.48797972277988877,3.4092470012013925,0.055,0.005,1.0,0.0
8,20268732,0.19216881058350055,0.4633377224394621,3.531132122830489,0.051,0.005,1.0,0.0
8,20268733,0.19530079563654681,0.4687452420669177,3.409736876928119,0.063,0.005,1.0,0.0
8,20268734,0.20749108289559504,0.5104144172496868,3.435669400572204,0.082,0.005,1.0,0.0
8,20268735,0.1965981180348833,0.49578999427646087,3.568059350331889,0.053,0.005,1.0,0.0
8,20268736,0.19156104618762007,0.46757929215623006,3.7129621456342585,0.034,0.005,1.0,0.0
8,20268737,0.19356562773508582,0.4610997840553995,3.2876744884910876,0.047,0.005,1.0,0.0
8,20268738,0.18158345206838786,0.42771957429544366,3.3188200322779413,0.072,0.005,1.0,0.0
8,20268739,0.20525048559541337,0.48545544570235494,3.579286296804288,0.084,0.005,1.0,0.0
8,20268740,0.204419417226822,0.5046035160187696,3.690790605910328,0.042,0.005,1.0,0.0
8,20268741,0.1813793903361077,0.45978440127372094,3.4000847126180327,0.08,0.005,1.0,0.0
8,20268742,0.2059217242883951,0.4538500840072765,3.4545700511429205,0.046,0.005,1.0,0.0
8,20268743,0.2026361743604269,0.5056365416298888,3.6058181550527832,0.03,0.005,1.0,0.0
8,20268744,0.19725023363015537,0.4730738826937701,3.520082158281327,0.062,0.005,1.0,0.0
8,20268745,0.20235454963832883,0.5012620605978507,3.6964610561995754,0.047,0.005,1.0,0.0
8,20268746,0.19323646746265172,0.47944970878730764,3.4270455206778503,0.037,0.005,1.0,0.0
8,20268747,0.1948745708051409,0.4736458563811948,3.5156984693141373,0.055,0.005,1.0,0.0
8,20268748,0.19471863841404644,0.4612846685624072,3.560091580359358,0.026,0.005,1.0,0.0
8,20268749,0.20664198385613852,0.5019847244352277,3.2940033083543185,0.073,0.005,1.0,0.0
16,20276730,0.14032895167269518,0.3491210828772185,3.079305654047121,0.051,0.005,1.0,0.0
16,20276731,0.1355097670699273,0.3109529255606716,3.0954761132760256,0.077,0.005,1.0,0.0
16,20276732,0.13430794795628903,0.33349078947172717,3.0315719180104974,0.054,0.005,1.0,0.0
16,20276733,0.1360755175775469,0.3169119139520834,3.096578453687145,0.09,0.005,1.0,0.0
16,20276734,0.14970811471274795,0.37169065897231,2.9678652447336544,0.046,0.005,1.0,0.0
16,20276735,0.14244672499814318,0.3540038177529673,3.077957982912106,0.083,0.005,1.0,0.0
16,20276736,0.13639470971525314,0.3195039294904291,2.9923979410801853,0.055,0.005,1.0,0.0
16,20276737,0.13903565333990692,0.33931196873030733,3.1165973320360014,0.096,0.005,1.0,0.0
16,20276738,0.1339103666672494,0.303020074898742,2.9895223888452462,0.062,0.005,1.0,0.0
16,20276739,0.13719116735448714,0.34220350157578205,3.0076548847859153,0.111,0.005,1.0,0.0
