delay,policy,seed,agents,rounds,cooperation_rate,mean_payoff_per_action,stale_retaliations,forgiving_actions,defection_bursts
0,blind_tft,2026073500,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073500,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073501,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073501,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073502,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073502,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073503,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073503,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073504,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073504,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073505,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073505,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073506,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073506,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073507,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073507,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073508,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073508,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073509,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073509,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073510,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073510,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073511,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073511,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073512,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073512,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073513,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073513,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073514,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073514,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073515,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073515,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073516,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073516,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073517,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073517,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073518,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073518,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073519,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073519,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073520,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073520,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073521,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073521,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073522,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073522,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073523,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073523,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073524,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073524,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073525,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073525,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073526,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073526,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073527,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073527,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073528,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073528,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073529,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073529,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073530,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073530,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073531,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073531,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073532,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073532,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073533,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073533,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073534,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073534,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073535,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073535,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073536,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073536,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073537,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073537,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073538,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073538,12,200,1.0,3.0,0,24,0
0,blind_tft,2026073539,12,200,1.0,3.0,0,0,0
0,queue_aware_forgiving,2026073539,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083500,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083500,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083501,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083501,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083502,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083502,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083503,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083503,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083504,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083504,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083505,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083505,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083506,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083506,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083507,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083507,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083508,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083508,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083509,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083509,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083510,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083510,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083511,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083511,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083512,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083512,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083513,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083513,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083514,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083514,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083515,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083515,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083516,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083516,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083517,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083517,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083518,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083518,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083519,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083519,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083520,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083520,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083521,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083521,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083522,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083522,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083523,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083523,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083524,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083524,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083525,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083525,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083526,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083526,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083527,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083527,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083528,12,200,1.0,3.0,0,0,0
1,queue_aware_forgiving,2026083528,12,200,1.0,3.0,0,24,0
1,blind_tft,2026083529,12,200,1.0,3.0,0,0,0
