delay,background_rate,policy,n_games,mean_useful_delivery_rate,mean_useful_fresh_rate,mean_stale_useful_rate,mean_useful_wait,mean_backlog,mean_max_backlog,mean_background_processed
0,0.0,fifo_blind,20,0.9944444444444439,1.0,0.0,1.0,24.0,24.0,0.0
0,0.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,24.0,24.0,0.0
0,1.0,fifo_blind,20,0.664236111111111,0.017718179478868404,0.9822818205211317,30.579612024427167,1112.828888888889,2186.65,1426.5
0,1.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,1112.828888888889,2186.65,0.0
0,2.0,fifo_blind,20,0.4986574074074073,0.014738090646416551,0.9852619093535836,45.08493811627341,2195.1525,4350.8,2141.8
0,2.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,2195.1525,4350.8,0.0
0,4.0,fifo_blind,20,0.3338541666666666,0.017365699935302795,0.9826343000646973,59.950897321359626,4363.671666666668,8651.35,2853.75
0,4.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,4363.671666666668,8651.35,0.0
0,8.0,fifo_blind,20,0.2011226851851852,0.027627897685687908,0.9723721023143123,71.26282020047879,8708.084444444443,17304.85,3427.15
0,8.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,8708.084444444443,17304.85,0.0
1,0.0,fifo_blind,20,0.9944444444444439,1.0,0.0,1.0,24.0,24.0,0.0
1,0.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,24.0,24.0,0.0
1,1.0,fifo_blind,20,0.6648726851851852,0.017701007624084962,0.9822989923759151,30.362337859345605,1105.5336111111114,2175.15,1423.75
1,1.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,1105.5336111111114,2175.15,0.0
1,2.0,fifo_blind,20,0.49825231481481486,0.015742505291318536,0.9842574947086817,45.286129261193004,2198.3919444444446,4341.8,2143.55
1,2.0,priority_deduplicating,20,0.9944444444444439,1.0,0.0,1.0,2198.3919444444446,4341.8,0.0
