policy,step,helicopter,pad,x,y,z,phase,clearance_issued,clearance_delivered,message_age,slot_start,slot_end,clearance_version,decision,accepted,stale_rejected,conflict_step
delay_blind,0,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,0,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,0,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,0,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,0,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,0,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,0,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,0,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,1,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,1,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,1,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,1,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,1,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,1,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,1,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,1,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,2,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,2,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,2,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,2,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,2,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,2,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,2,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,2,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
